"Medium_ES"	"Medium_p_UP"	"Medium_p_DN"	"Strain_ES"	"Strain_p_UP"	"Strain_p_DN"	"Interaction_ES"	"Interaction_p_UP"	"Interaction_p_DN"
"NAGC_POS"	-0.79558	NA	0.60772	-0.88988	NA	0.35558	0.92736	0.38361	NA
"NAGC_REP"	0.52675	0.62816	NA	-0.46733	NA	0.76233	0.71115	0.17871	NA
"NANR_REP"	0.42133	0.88818	NA	-0.83576	NA	0.16553	0.74608	0.41009	NA
"NARL_DUAL"	0.50985	0.84056	NA	0.43103	0.98954	NA	0.46147	0.8784	NA
"NARL_POS"	0.65496	0.27159	NA	0.60529	0.63214	NA	0.72812	0.10334	NA
"NARL_REP"	0.58118	0.30201	NA	0.20059	0.99313	NA	0.41226	0.68758	NA
"NARP_POS"	0.42419	0.77803	NA	0.53534	0.83941	NA	0.47657	0.68268	NA
"NARP_REP"	0.72401	0.15582	NA	-0.2914	NA	0.96375	0.6234	0.40694	NA
"NEMR_REP"	0.80824	0.62481	NA	0.8937	0.6088	NA	0.89965	0.41293	NA
"NHAR_DUAL"	0.90679	0.54292	NA	-0.88645	NA	0.45645	-0.89835	NA	0.50319
"NHAR_POS"	0.80358	0.47436	NA	-0.8308	NA	0.3087	-0.54958	NA	0.82738
"NIKR_REP"	-0.42081	NA	1	0.55902	0.99895	NA	-0.26637	NA	1
"NIMR_REP"	0.67301	0.75533	NA	0.8235	0.76264	NA	0.7224	0.68305	NA
"NORR_POS"	0.85757	0.61284	NA	0.47675	0.98662	NA	0.84489	0.54445	NA
"NRDR_REP"	0.66652	0.61861	NA	0.9265	0.30443	NA	0.73044	0.47099	NA
"NSRR_REP"	-0.30698	NA	0.97415	0.71004	0.21344	NA	-0.29798	NA	0.95573
"NTRC_POS"	-0.54889	NA	0.45434	-0.7423	NA	0.074319	0.43913	0.71248	NA
"NTRC_REP"	-0.75513	NA	0.48859	-0.43896	NA	0.92575	0.54985	0.79793	NA
"OMPR_POS"	-0.88275	NA	0.20613	-0.94076	NA	0.087551	0.96566	0.088876	NA
"OMPR_REP"	-0.68142	NA	0.50119	-0.90229	NA	0.071828	0.81287	0.2224	NA
"OXYR_POS"	0.77784	0.14357	NA	0.8894	0.15079	NA	0.58203	0.55688	NA
"OXYR_REP"	0.37298	0.93719	NA	0.5426	0.96404	NA	-0.48059	NA	0.85336
"PAAX_REP"	0.74173	0.40926	NA	0.51152	0.98111	NA	0.62162	0.55942	NA
"PDHR_POS"	-0.8288	NA	0.41901	0.86743	0.52992	NA	-0.83428	NA	0.41815
"PDHR_REP"	0.45204	0.73188	NA	-0.40078	NA	0.85897	0.49137	0.64686	NA
"PEPA_REP"	-0.77235	NA	0.64708	-0.70919	NA	0.66351	-0.73934	NA	0.69646
"PGRR_REP"	0.70081	0.73084	NA	-0.84264	NA	0.54867	-0.66157	NA	0.82358
"PHOB_POS"	0.4929	0.61146	NA	-0.76312	NA	0.055634	-0.33586	NA	0.92984
"PHOB_REP"	-0.38453	NA	1	-0.48395	NA	0.84748	-0.36819	NA	0.97967
"PHOP_POS"	0.52671	0.61823	NA	-0.77361	NA	0.048209	-0.73519	NA	0.12921
"PHOP_REP"	-0.47336	NA	0.94879	0.71246	0.69729	NA	0.77226	0.34559	NA
"PRPR_POS"	0.62467	0.74797	NA	0.54106	0.98419	NA	0.63767	0.70573	NA
"PSPF_POS"	-0.30368	NA	0.97681	0.59491	0.98296	NA	-0.57061	NA	0.82053
"PURR_REP"	-0.80722	NA	0.035105	0.39913	0.98882	NA	-0.75551	NA	0.12691
"PUTA_REP"	-0.81776	NA	0.65036	0.8921	0.62154	NA	-0.98081	NA	0.4062
"PUUR_REP"	-0.79214	NA	0.43865	-0.92882	NA	0.10118	0.93129	0.12216	NA
"QSEB_POS"	-0.59703	NA	0.92472	0.49864	0.99772	NA	-0.56665	NA	0.85909
"RBSR_REP"	-0.67418	NA	0.61213	-0.7283	NA	0.52383	-0.27195	NA	1
"RCDA_POS"	-0.76015	NA	0.4575	-0.93071	NA	0.099563	0.95214	0.10546	NA
"RCDA_REP"	0.95043	0.48214	NA	0.59985	0.96674	NA	0.88413	0.51483	NA
"RCNR_REP"	0.71889	0.67231	NA	0.65337	0.9793	NA	0.77199	0.55895	NA
"RCSAB_POS"	0.78274	0.39113	NA	0.75343	0.62977	NA	0.83508	0.20702	NA
"RCSAB_REP"	-0.89935	NA	0.20591	-0.94987	NA	0.092079	0.96378	0.11466	NA
"RCSB_POS"	0.90567	0.01769	NA	-0.84543	NA	0.070151	-0.79959	NA	0.1557
"RCSB_REP"	0.96593	0.46596	NA	-0.9689	NA	0.27479	-0.99259	NA	0.39294
"RCSB-BGLJ_POS"	0.31255	0.95636	NA	0.31991	1	NA	0.57273	0.64708	NA
"RELB_REP"	0.74787	0.63607	NA	0.59241	0.97266	NA	0.71447	0.64602	NA
"RELB-RELE_REP"	0.74787	0.63607	NA	0.59241	0.97266	NA	0.71447	0.64602	NA
"RHAR_POS"	0.70878	0.7399	NA	-0.4826	NA	0.92793	-0.64503	NA	0.84524
"RHAS_DUAL"	0.7782	0.61117	NA	0.52571	0.98889	NA	-0.65416	NA	0.82956
"RHAS_POS"	0.73141	0.61655	NA	0.47173	0.99384	NA	0.72948	0.55042	NA
"ROB_POS"	0.68083	0.4327	NA	0.70343	0.55349	NA	0.63094	0.49362	NA
"RSTA_POS"	0.77323	0.59784	NA	0.71062	0.84797	NA	0.86707	0.38623	NA
"RSTA_REP"	-0.90168	NA	0.26862	-0.95405	NA	0.10581	0.97208	0.14416	NA
"RTCR_POS"	0.68921	0.753	NA	-0.69859	NA	0.72717	-0.47643	NA	0.97225
"RUTR_POS"	-0.85436	NA	0.57832	-0.81758	NA	0.56575	-0.67215	NA	0.8248
"RUTR_REP"	0.69974	0.46413	NA	-0.79663	NA	0.15457	-0.61488	NA	0.60421
"SDIA_POS"	0.67576	0.73801	NA	-0.93494	NA	0.253	-0.83359	NA	0.53204
"SDIA_REP"	-0.52635	NA	0.97251	0.65731	0.97504	NA	0.51509	0.87619	NA
"SGRR_POS"	-0.59968	NA	0.9485	-0.56431	NA	0.86863	0.62747	0.81132	NA
"SGRR_REP"	-0.51563	NA	0.96502	-0.7054	NA	0.63138	-0.48663	NA	0.94671
"SIGMA19_POS"	-0.8288	NA	0.41901	0.86743	0.52992	NA	-0.83428	NA	0.41815
"SIGMA24_POS"	0.46797	0.59729	NA	0.64339	0.24326	NA	0.5422	0.38805	NA
"SIGMA28_POS"	0.48556	0.59941	NA	-0.33284	NA	0.87631	0.74844	0.011162	NA
"SIGMA32_POS"	0.33187	0.82136	NA	0.47576	0.7573	NA	0.38373	0.69185	NA
"SIGMA38_POS"	0.52233	0.29346	NA	-0.75427	NA	0	-0.51605	NA	0.32447
"SIGMA54_POS"	-0.20094	NA	0.99081	-0.48448	NA	0.5324	0.48573	0.50109	NA
"SIGMA70_POS"	-0.32862	NA	0.75216	0.38728	0.7638	NA	0.34045	0.64026	NA
"SOXR_POS"	0.85658	0.60479	NA	0.69555	0.97193	NA	0.8906	0.49614	NA
"SOXS_POS"	0.61742	0.45836	NA	0.68284	0.4167	NA	0.47181	0.68129	NA
"SOXS_REP"	0.85475	0.59968	NA	-0.72303	NA	0.69614	0.65059	0.78632	NA
"STPA_REP"	0.67067	0.63839	NA	0.43647	0.98458	NA	0.71586	0.56293	NA
"SUTR_REP"	-0.54859	NA	0.95547	-0.74603	NA	0.5666	0.73127	0.56104	NA
"TDCA_POS"	0.65449	0.62973	NA	0.79245	0.61594	NA	0.50874	0.82236	NA
"TDCR_POS"	0.65449	0.62973	NA	0.79245	0.61594	NA	0.50874	0.82236	NA
"TORR_POS"	0.80886	0.40421	NA	-0.88574	NA	0.12487	-0.88427	NA	0.16868
"TORR_REP"	0.92247	0.47353	NA	-0.93371	NA	0.25383	-0.95442	NA	0.33877
"TRER_REP"	0.60973	0.84187	NA	-0.93952	NA	0.35111	-0.90916	NA	0.49321
"TRPR_REP"	-0.32327	NA	1	0.4444	1	NA	0.51655	0.76929	NA
"TYRR_POS"	-0.91531	NA	0.40868	0.4309	1	NA	-0.7749	NA	0.62156
"TYRR_REP"	-0.74393	NA	0.42926	0.42225	0.98835	NA	0.3102	0.97586	NA
"UIDR_REP"	0.71781	0.6425	NA	0.94441	0.39591	NA	0.74704	0.56306	NA
"ULAR_REP"	0.55765	0.75467	NA	0.61904	0.98078	NA	0.68517	0.5594	NA
"UVRY_POS"	0.82128	0.62047	NA	0.92644	0.6148	NA	0.91113	0.46712	NA
"UXUR_REP"	0.59735	0.68134	NA	0.74474	0.68205	NA	0.47123	0.85404	NA
"XAPR_POS"	0.8013	0.63071	NA	0.58032	0.98609	NA	0.73181	0.68039	NA
"XYLR_POS"	0.78591	0.52733	NA	-0.70343	NA	0.58476	0.72023	0.55515	NA
"YDEO_POS"	0.86109	0.099074	NA	-0.88573	NA	0.063217	-0.91276	NA	0.053628
"YDEO_REP"	-0.43545	NA	1	-0.58282	NA	0.87013	-0.61478	NA	0.86103
"YEDW_POS"	-0.50385	NA	0.94816	-0.79284	NA	0.38617	-0.32551	NA	0.99348
"YEDW_REP"	0.3768	0.96169	NA	-0.70049	NA	0.62517	-0.42762	NA	0.98757
"YEFM_REP"	0.76049	0.67245	NA	0.69415	0.96045	NA	0.84502	0.5489	NA
"YEFM-YOEB_REP"	0.76049	0.67245	NA	0.69415	0.96045	NA	0.84502	0.5489	NA
"YIAJ_REP"	0.35767	0.96516	NA	0.46141	0.99002	NA	0.28835	0.9924	NA
"YJJQ_REP"	-0.2987	NA	0.98564	-0.87117	NA	0.10252	0.68942	0.52573	NA
"YQHC_POS"	0.5527	0.89554	NA	-0.34169	NA	0.99642	0.8119	0.55203	NA
"YQJI_REP"	0.54972	0.88405	NA	0.50986	0.99202	NA	-0.81755	NA	0.62489
"ZRAR_POS"	0.60057	0.82473	NA	0.5358	0.99953	NA	0.55111	0.85534	NA
"ZUR_REP"	-0.9701	NA	0.092771	0.98073	0.28445	NA	-0.99398	NA	0.10369
