"Medium_ES"	"Medium_p_UP"	"Medium_p_DN"	"Strain_ES"	"Strain_p_UP"	"Strain_p_DN"	"Interaction_ES"	"Interaction_p_UP"	"Interaction_p_DN"
"NAC_REP"	-0.90582	NA	0.15852	-0.70729	NA	0.80228	0.53084	0.89566	NA
"NADR_REP"	0.48228	0.95897	NA	-0.86471	NA	0.83837	0.6369	0.8708	NA
"NAGC_DUAL"	0.93165	0.66102	NA	0.97163	0.63932	NA	0.97346	0.5147	NA
"NAGC_POS"	-0.9539	NA	0.4036	-0.98793	NA	0.60312	-0.80882	NA	0.74092
"NAGC_REP"	-0.49638	NA	0.72289	0.84754	0.29961	NA	0.67371	0.68351	NA
"NANR_REP"	-0.71517	NA	0.58588	0.78086	0.7157	NA	-0.73404	NA	0.63983
"NARL_DUAL"	-0.71965	NA	0.66279	-0.63595	NA	0.84374	-0.76363	NA	0.64479
"NARL_POS"	0.64515	0.69288	NA	-0.34683	NA	0.94084	0.32123	0.9872	NA
"NARL_REP"	0.66717	0.4143	NA	0.65307	0.78647	NA	0.63503	0.53032	NA
"NARP_POS"	0.51894	0.80546	NA	0.44815	0.94063	NA	0.44351	0.9136	NA
"NARP_REP"	0.65738	0.68885	NA	-0.47499	NA	0.83541	-0.57878	NA	0.75324
"NEMR_REP"	-0.87637	NA	0.59141	0.8607	0.68318	NA	-0.7466	NA	0.78899
"NHAR_DUAL"	0.61171	0.90431	NA	-0.72721	NA	0.83292	-0.93508	NA	0.59448
"NHAR_POS"	0.80197	0.74785	NA	-0.31692	NA	0.99203	-0.84217	NA	0.58558
"NIKR_REP"	0.67904	0.8559	NA	0.83436	0.72527	NA	0.87034	0.51807	NA
"NIMR_REP"	0.77562	0.87035	NA	-0.64552	NA	0.866	0.58784	0.91321	NA
"NORR_POS"	0.60119	0.90778	NA	-0.83181	NA	0.78166	-0.67729	NA	0.88245
"NRDR_REP"	-0.51593	NA	0.85871	0.72427	0.69709	NA	-0.75116	NA	0.65795
"NSRR_REP"	0.47589	0.85179	NA	0.40006	0.94594	NA	0.47551	0.86249	NA
"NTRC_POS"	-0.75372	NA	0.019335	0.4186	0.93344	NA	-0.44378	NA	0.9174
"NTRC_REP"	-0.67575	NA	0.71874	-0.72933	NA	0.79226	0.78877	0.78057	NA
"OMPR_POS"	-0.88298	NA	0.24555	0.83761	0.71103	NA	-0.42344	NA	0.98316
"OMPR_REP"	-0.74184	NA	0.54812	-0.79066	NA	0.63028	-0.34896	NA	0.99063
"OXYR_POS"	0.6248	0.83186	NA	0.8093	0.63049	NA	-0.36997	NA	0.97983
"OXYR_REP"	-0.37313	NA	0.96093	-0.62347	NA	0.82342	0.55722	0.87837	NA
"PAAX_REP"	-0.29636	NA	0.97725	-0.59771	NA	0.8433	-0.70471	NA	0.64799
"PDHR_POS"	-0.6551	NA	0.78292	-0.76645	NA	0.74928	0.76171	0.80709	NA
"PDHR_REP"	-0.47477	NA	0.73967	-0.45055	NA	0.83544	0.48403	0.87164	NA
"PEPA_REP"	-0.67616	NA	0.80957	-0.83819	NA	0.85435	-0.87804	NA	0.63858
"PGRR_REP"	-0.79665	NA	0.69025	0.77407	0.79552	NA	-0.85988	NA	0.70979
"PHOB_POS"	-0.55174	NA	0.54524	-0.29095	NA	0.98495	-0.61522	NA	0.59739
"PHOB_REP"	-0.7898	NA	0.26113	-0.50255	NA	0.88529	-0.77768	NA	0.5851
"PHOP_POS"	0.50205	0.80517	NA	0.55146	0.82211	NA	-0.59624	NA	0.66622
"PHOP_REP"	0.66282	0.83895	NA	-0.91367	NA	0.52773	-0.89878	NA	0.34347
"PRPR_POS"	0.59198	0.8941	NA	-0.55887	NA	0.90816	-0.58818	NA	0.93289
"PSPF_POS"	0.55627	0.89646	NA	-0.62815	NA	0.82303	-0.31558	NA	0.98323
"PURR_REP"	-0.72992	NA	0.14498	-0.8604	NA	0.80167	0.63745	0.76266	NA
"PUTA_REP"	-0.5379	NA	0.93209	-0.42153	NA	0.98473	-0.78419	NA	0.78729
"PUUR_REP"	0.89733	0.44855	NA	-0.96289	NA	0.45528	-0.96512	NA	0.37506
"QSEB_POS"	-0.80517	NA	0.66264	-0.56987	NA	0.90349	-0.73904	NA	0.78737
"RBSR_REP"	-0.76883	NA	0.55728	-0.84299	NA	0.57829	0.79959	0.6773	NA
"RCDA_POS"	-0.90599	NA	0.19879	0.88347	0.61339	NA	0.71032	0.83232	NA
"RCDA_REP"	0.90159	0.74222	NA	0.73363	0.83499	NA	0.90461	0.75779	NA
"RCNR_REP"	-0.5924	NA	0.8633	-0.72682	NA	0.83923	0.44455	0.98804	NA
"RCSAB_POS"	0.87373	0.4119	NA	0.91572	0.4528	NA	0.94206	0.39251	NA
"RCSAB_REP"	-0.92447	NA	0.23639	-0.7876	NA	0.79694	0.37994	0.98098	NA
"RCSB_POS"	0.8057	0.39642	NA	-0.8665	NA	0.54318	-0.85755	NA	0.38707
"RCSB_REP"	0.69533	0.81801	NA	-0.79738	NA	0.81179	-0.97084	NA	0.53337
"RCSB-BGLJ_POS"	-0.59997	NA	0.69229	-0.33701	NA	0.98563	-0.34098	NA	0.99532
"RELB_REP"	-0.60846	NA	0.86156	0.42116	1	NA	-0.69276	NA	0.83718
"RELB-RELE_REP"	-0.60846	NA	0.86156	0.42116	1	NA	-0.69276	NA	0.83718
"RHAR_POS"	0.6422	0.87048	NA	-0.75752	NA	0.84347	-0.75957	NA	0.83176
"RHAS_DUAL"	0.61112	0.89064	NA	-0.75723	NA	0.82214	-0.81524	NA	0.73934
"RHAS_POS"	-0.38337	NA	0.96772	-0.74137	NA	0.7758	-0.76015	NA	0.72062
"ROB_POS"	0.61371	0.83459	NA	0.57968	0.82481	NA	0.30616	0.9833	NA
"RSTA_POS"	0.80632	0.75184	NA	0.30798	1	NA	-0.54594	NA	0.95125
"RSTA_REP"	-0.96464	NA	0.20491	-0.65697	NA	0.82884	0.66605	0.86171	NA
"RTCR_POS"	-0.71982	NA	0.80804	0.79155	0.81679	NA	-0.67065	NA	0.89333
"RUTR_POS"	-0.6763	NA	0.80786	-0.85174	NA	0.79341	0.67433	0.87147	NA
"RUTR_REP"	-0.63413	NA	0.64976	0.36556	1	NA	-0.79889	NA	0.48366
"SDIA_POS"	-0.58413	NA	0.86986	0.51977	0.97267	NA	-0.71398	NA	0.8185
"SDIA_REP"	0.51399	0.95217	NA	0.38804	0.98908	NA	0.41997	0.9916	NA
"SGRR_POS"	-0.81092	NA	0.71074	-0.68167	NA	0.83875	0.31477	0.9966	NA
"SGRR_REP"	-0.815	NA	0.65062	-0.86966	NA	0.83552	0.66966	0.86357	NA
"SIGMA19_POS"	-0.6551	NA	0.78292	-0.76645	NA	0.74928	0.76171	0.80709	NA
"SIGMA24_POS"	0.65413	0.4779	NA	0.59368	0.6848	NA	0.50874	0.82956	NA
"SIGMA28_POS"	-0.36023	NA	0.83964	-0.65665	NA	0.56695	-0.26632	NA	0.97755
"SIGMA32_POS"	0.42962	0.82857	NA	0.40212	0.94834	NA	-0.29847	NA	0.98403
"SIGMA38_POS"	0.49031	0.83067	NA	-0.46284	NA	0.8147	-0.57934	NA	0.56781
"SIGMA54_POS"	-0.40875	NA	0.69506	-0.35795	NA	0.90356	-0.34935	NA	0.94753
"SIGMA70_POS"	0.38122	0.82638	NA	0.45246	0.83988	NA	0.38984	0.86813	NA
"SOXR_POS"	-0.75289	NA	0.756	-0.70497	NA	0.82249	-0.75878	NA	0.81912
"SOXS_POS"	0.61672	0.76091	NA	0.64929	0.68304	NA	0.54637	0.87294	NA
"SOXS_REP"	0.70126	0.82118	NA	0.94518	0.7158	NA	0.43355	0.98309	NA
"STPA_REP"	-0.63243	NA	0.79633	0.35104	0.98778	NA	-0.54054	NA	0.94238
"SUTR_REP"	0.55116	0.91347	NA	-0.54097	NA	0.90587	0.79834	0.75051	NA
"TDCA_POS"	-0.5753	NA	0.80634	-0.45535	NA	0.94058	-0.71411	NA	0.73838
"TDCR_POS"	-0.5753	NA	0.80634	-0.45535	NA	0.94058	-0.71411	NA	0.73838
"TORR_POS"	0.67364	0.85852	NA	-0.85785	NA	0.54837	-0.80298	NA	0.52543
"TORR_REP"	0.6955	0.81582	NA	-0.72684	NA	0.84593	-0.9356	NA	0.55607
"TRER_REP"	-0.94885	NA	0.54	-0.70393	NA	0.81968	-0.56017	NA	0.95296
"TRPR_REP"	-0.78997	NA	0.31279	-0.64039	NA	0.82438	0.6556	0.82584	NA
"TYRR_POS"	-0.84294	NA	0.65413	-0.6874	NA	0.82702	-0.56253	NA	0.95434
"TYRR_REP"	-0.54864	NA	0.81422	-0.67218	NA	0.787	0.40202	0.98045	NA
"UIDR_REP"	0.92886	0.55058	NA	0.76021	0.76918	NA	0.30155	1	NA
"ULAR_REP"	0.31667	0.99476	NA	0.36269	1	NA	-0.49534	NA	0.95956
"UVRY_POS"	0.82947	0.83344	NA	-0.97839	NA	0.6689	-0.99008	NA	0.59174
"UXUR_REP"	0.76731	0.75172	NA	0.72138	0.74348	NA	-0.30234	NA	0.98753
"XAPR_POS"	0.73689	0.81377	NA	-0.68767	NA	0.83406	-0.5535	NA	0.95433
"XYLR_POS"	-0.80611	NA	0.58109	-0.55175	NA	0.89064	-0.83219	NA	0.57008
"YDEO_POS"	0.34123	0.98861	NA	-0.76978	NA	0.56484	-0.88655	NA	0.3994
"YDEO_REP"	0.93946	0.70875	NA	-0.97702	NA	0.66178	-0.98567	NA	0.57032
"YEDW_POS"	-0.62653	NA	0.76607	-0.63112	NA	0.83478	-0.55316	NA	0.91832
"YEDW_REP"	-0.63153	NA	0.81906	-0.78174	NA	0.83667	0.64503	0.85277	NA
"YEFM_REP"	0.89449	0.73063	NA	0.82629	0.74464	NA	0.89498	0.77796	NA
"YEFM-YOEB_REP"	0.89449	0.73063	NA	0.82629	0.74464	NA	0.89498	0.77796	NA
"YIAJ_REP"	-0.93549	NA	0.16474	-0.88191	NA	0.58684	-0.59105	NA	0.8829
"YJJQ_REP"	-0.42253	NA	0.93353	-0.48448	NA	0.90256	0.37897	0.9836	NA
"YQHC_POS"	-0.99931	NA	0.35556	0.88041	0.70222	NA	-0.7991	NA	0.79093
"YQJI_REP"	-0.92603	NA	0.56083	-0.89858	NA	0.82122	-0.75933	NA	0.82477
"ZRAR_POS"	0.37716	0.99233	NA	0.55805	0.95053	NA	0.60797	0.90257	NA
"ZUR_REP"	0.75462	0.83514	NA	-0.60938	NA	0.83999	0.73984	0.81168	NA
