"Medium_ES"	"Medium_p_UP"	"Medium_p_DN"	"Strain_ES"	"Strain_p_UP"	"Strain_p_DN"	"Interaction_ES"	"Interaction_p_UP"	"Interaction_p_DN"
"NAC_REP"	-0.57315	NA	0.83287	0.66119	0.7251	NA	0.82671	0.32042	NA
"NADR_REP"	-0.42221	NA	0.94934	-0.47887	NA	0.94896	0.50604	0.93129	NA
"NAGC_DUAL"	-0.34718	NA	0.98252	0.84755	0.6146	NA	-0.48195	NA	0.92474
"NAGC_POS"	-0.95337	NA	0.31715	-0.82931	NA	0.59523	0.88272	0.45163	NA
"NAGC_REP"	-0.71809	NA	0.23697	-0.38996	NA	0.93938	-0.53069	NA	0.76589
"NANR_REP"	0.70776	0.76101	NA	-0.85133	NA	0.2843	-0.49035	NA	0.85917
"NARL_DUAL"	-0.31436	NA	0.98591	0.45596	0.91008	NA	0.46084	0.93632	NA
"NARL_POS"	0.71295	0.40296	NA	0.63974	0.34851	NA	0.83432	0.042436	NA
"NARL_REP"	0.77605	0.19215	NA	-0.51308	NA	0.74161	0.36154	0.87588	NA
"NARP_POS"	0.73798	0.41695	NA	0.56588	0.65542	NA	0.62138	0.42206	NA
"NARP_REP"	0.77159	0.35495	NA	-0.52759	NA	0.81241	-0.43185	NA	0.85799
"NEMR_REP"	-0.39764	NA	0.97996	0.62105	0.84483	NA	-0.82765	NA	0.65783
"NHAR_DUAL"	0.94166	0.53044	NA	-0.89763	NA	0.49436	-0.98888	NA	0.40755
"NHAR_POS"	0.89656	0.34128	NA	-0.90876	NA	0.23618	-0.92494	NA	0.23841
"NIKR_REP"	0.82886	0.55194	NA	0.70359	0.72261	NA	0.87313	0.31782	NA
"NIMR_REP"	0.7854	0.78521	NA	-0.51372	NA	0.95084	0.76415	0.70448	NA
"NORR_POS"	0.80593	0.78332	NA	-0.90388	NA	0.48433	0.63876	0.84756	NA
"NRDR_REP"	0.38419	0.97539	NA	-0.75346	NA	0.58461	-0.85709	NA	0.37266
"NSRR_REP"	0.40083	0.86812	NA	0.56485	0.48421	NA	0.35017	0.90027	NA
"NTRC_POS"	-0.6649	NA	0.24307	-0.70244	NA	0.29754	0.66831	0.26821	NA
"NTRC_REP"	-0.85933	NA	0.36578	0.31737	0.99343	NA	0.78501	0.4411	NA
"OMPR_POS"	-0.75061	NA	0.61989	-0.51381	NA	0.90821	0.93765	0.2566	NA
"OMPR_REP"	-0.85485	NA	0.24053	-0.86952	NA	0.22052	0.40917	0.93421	NA
"OXYR_POS"	0.53899	0.89042	NA	-0.49705	NA	0.85857	-0.75478	NA	0.39129
"OXYR_REP"	0.88194	0.35612	NA	0.80701	0.33737	NA	0.84718	0.22008	NA
"PAAX_REP"	0.74785	0.57929	NA	-0.51499	NA	0.86002	-0.48203	NA	0.85533
"PDHR_POS"	-0.71372	NA	0.71559	0.7007	0.7711	NA	0.83851	0.42362	NA
"PDHR_REP"	0.42413	0.87799	NA	-0.67916	NA	0.45592	0.58331	0.47845	NA
"PEPA_REP"	-0.88444	NA	0.55418	0.70213	0.80055	NA	0.8976	0.41872	NA
"PGRR_REP"	0.75768	0.79743	NA	-0.84269	NA	0.60516	-0.8572	NA	0.64651
"PHOB_POS"	-0.40145	NA	0.82261	-0.76461	NA	0.081694	-0.57417	NA	0.67027
"PHOB_REP"	0.54787	0.89138	NA	-0.58534	NA	0.81669	0.37131	0.97521	NA
"PHOP_POS"	0.7703	0.3103	NA	-0.74045	NA	0.17803	-0.91226	NA	0.0042892
"PHOP_REP"	0.8519	0.35485	NA	0.53331	0.8337	NA	0.88313	0.25497	NA
"PRPR_POS"	0.59921	0.89642	NA	-0.41702	NA	0.99433	0.65926	0.77216	NA
"PSPF_POS"	-0.71047	NA	0.70926	0.76317	0.61863	NA	-0.60333	NA	0.80693
"PURR_REP"	-0.84957	NA	0.0089485	0.72263	0.29182	NA	-0.44667	NA	0.85304
"PUTA_REP"	-0.45731	NA	0.9541	0.9349	0.47322	NA	0.54462	0.93086	NA
"PUUR_REP"	-0.95347	NA	0.21579	-0.91114	NA	0.23988	0.95025	0.24485	NA
"QSEB_POS"	0.6284	0.89414	NA	-0.62559	NA	0.84433	-0.37101	NA	0.97942
"RBSR_REP"	-0.88323	NA	0.24628	0.8433	0.33254	NA	0.56056	0.79885	NA
"RCDA_POS"	-0.76767	NA	0.59212	-0.90202	NA	0.25472	0.75059	0.48149	NA
"RCDA_REP"	-0.68379	NA	0.83245	0.73959	0.79321	NA	-0.54156	NA	0.92476
"RCNR_REP"	0.60473	0.87722	NA	0.33322	0.98767	NA	-0.76128	NA	0.69312
"RCSAB_POS"	0.44209	0.93397	NA	0.45282	0.8912	NA	0.66912	0.53365	NA
"RCSAB_REP"	-0.91701	NA	0.22642	-0.90324	NA	0.28339	0.93793	0.22684	NA
"RCSB_POS"	0.93846	0.1683	NA	-0.9297	NA	0.038962	-0.95389	NA	0.067749
"RCSB_REP"	0.94784	0.53138	NA	-0.97429	NA	0.31397	-0.98146	NA	0.41875
"RCSB-BGLJ_POS"	-0.24126	NA	0.99538	0.43355	0.88606	NA	-0.43918	NA	0.91325
"RELB_REP"	0.65849	0.88386	NA	0.53462	0.88378	NA	0.56553	0.89935	NA
"RELB-RELE_REP"	0.65849	0.88386	NA	0.53462	0.88378	NA	0.56553	0.89935	NA
"RHAR_POS"	0.6581	0.88518	NA	0.70889	0.79397	NA	-0.65184	NA	0.81839
"RHAS_DUAL"	0.74581	0.79232	NA	0.67767	0.79337	NA	-0.64747	NA	0.82414
"RHAS_POS"	0.66558	0.81708	NA	0.61846	0.80431	NA	-0.43779	NA	0.92485
"ROB_POS"	0.90292	0.1726	NA	0.57241	0.72083	NA	0.82368	0.19668	NA
"RSTA_POS"	0.78567	0.73318	NA	-0.61374	NA	0.84306	-0.63576	NA	0.81361
"RSTA_REP"	-0.94384	NA	0.24184	-0.90277	NA	0.31495	0.95151	0.2326	NA
"RTCR_POS"	0.71718	0.84252	NA	-0.61464	NA	0.86293	0.68509	0.78694	NA
"RUTR_POS"	-0.90037	NA	0.58673	-0.68868	NA	0.82128	0.89938	0.48683	NA
"RUTR_REP"	0.53025	0.88702	NA	-0.9068	NA	0.054784	-0.75119	NA	0.46883
"SDIA_POS"	0.73534	0.79562	NA	-0.98456	NA	0.23447	-0.92219	NA	0.4718
"SDIA_REP"	0.44597	0.96697	NA	0.61335	0.83916	NA	0.75405	0.64777	NA
"SGRR_POS"	-0.60618	NA	0.854	-0.70393	NA	0.81511	-0.33755	NA	0.98697
"SGRR_REP"	-0.63973	NA	0.82921	0.56065	0.8774	NA	0.62417	0.77782	NA
"SIGMA19_POS"	-0.71372	NA	0.71559	0.7007	0.7711	NA	0.83851	0.42362	NA
"SIGMA24_POS"	-0.49927	NA	0.59972	0.66113	0.2483	NA	-0.53102	NA	0.67953
"SIGMA28_POS"	0.55235	0.78673	NA	-0.62468	NA	0.47445	0.61074	0.31851	NA
"SIGMA32_POS"	-0.36311	NA	0.84015	0.65686	0.29283	NA	-0.56072	NA	0.59386
"SIGMA38_POS"	0.71315	0.15734	NA	-0.81928	NA	0	-0.73488	NA	0.055486
"SIGMA54_POS"	0.39899	0.87674	NA	-0.48208	NA	0.76661	0.55708	0.34525	NA
"SIGMA70_POS"	0.39019	0.89449	NA	-0.33312	NA	0.90183	-0.36293	NA	0.81059
"SOXR_POS"	0.91842	0.55658	NA	0.75335	0.77196	NA	0.90294	0.48062	NA
"SOXS_POS"	0.87403	0.1762	NA	0.43385	0.82527	NA	0.72574	0.22948	NA
"SOXS_REP"	-0.6386	NA	0.82286	-0.65266	NA	0.84221	0.83232	0.58158	NA
"STPA_REP"	0.34054	0.98237	NA	0.58088	0.82078	NA	-0.64267	NA	0.7901
"SUTR_REP"	-0.33795	NA	0.98843	-0.82967	NA	0.49554	-0.62425	NA	0.81506
"TDCA_POS"	0.35811	0.98867	NA	0.91761	0.29257	NA	-0.71632	NA	0.6656
"TDCR_POS"	0.35811	0.98867	NA	0.91761	0.29257	NA	-0.71632	NA	0.6656
"TORR_POS"	0.97474	0.18301	NA	-0.9652	NA	0.080323	-0.9789	NA	0.16516
"TORR_REP"	0.94118	0.46656	NA	-0.96127	NA	0.27832	-0.9813	NA	0.36388
"TRER_REP"	0.62596	0.87417	NA	-0.84499	NA	0.6028	-0.82794	NA	0.67657
"TRPR_REP"	0.31141	0.98099	NA	0.77495	0.37015	NA	0.64443	0.55284	NA
"TYRR_POS"	0.70911	0.82149	NA	0.96327	0.33973	NA	0.91307	0.42585	NA
"TYRR_REP"	-0.49247	NA	0.85437	0.76502	0.44885	NA	0.80889	0.31441	NA
"UIDR_REP"	0.56642	0.86774	NA	0.62756	0.82756	NA	-0.64822	NA	0.82416
"ULAR_REP"	0.52508	0.86455	NA	0.66266	0.77496	NA	-0.67121	NA	0.69517
"UVRY_POS"	0.96779	0.4874	NA	0.86205	0.63452	NA	0.97217	0.41656	NA
"UXUR_REP"	0.56253	0.89168	NA	0.78836	0.45317	NA	-0.33494	NA	0.97673
"XAPR_POS"	0.63158	0.88789	NA	0.57994	0.89916	NA	-0.53164	NA	0.91923
"XYLR_POS"	0.95641	0.29901	NA	-0.87376	NA	0.37803	-0.72229	NA	0.6727
"YDEO_POS"	0.8484	0.36525	NA	-0.87253	NA	0.094691	-0.90137	NA	0.17688
"YDEO_REP"	0.53721	0.91692	NA	-0.49221	NA	0.95639	-0.78247	NA	0.69623
"YEDW_POS"	0.50691	0.87592	NA	-0.60521	NA	0.8312	-0.80064	NA	0.51079
"YEDW_REP"	0.69835	0.79656	NA	0.66849	0.79155	NA	0.84523	0.42919	NA
"YEFM_REP"	-0.74932	NA	0.78479	-0.62765	NA	0.85698	-0.84944	NA	0.65237
"YEFM-YOEB_REP"	-0.74932	NA	0.78479	-0.62765	NA	0.85698	-0.84944	NA	0.65237
"YIAJ_REP"	-0.33837	NA	0.98762	0.4947	0.88777	NA	-0.68052	NA	0.69363
"YJJQ_REP"	-0.42728	NA	0.91639	-0.7367	NA	0.58916	0.59376	0.69977	NA
"YQHC_POS"	-0.68713	NA	0.83106	-0.94434	NA	0.42339	-0.9021	NA	0.58138
"YQJI_REP"	-0.73348	NA	0.79905	0.62349	0.85602	NA	-0.83452	NA	0.6752
"ZRAR_POS"	0.60658	0.88849	NA	-0.33704	NA	0.99769	0.7375	0.68075	NA
"ZUR_REP"	-0.53307	NA	0.84927	0.71738	0.70343	NA	-0.70268	NA	0.69814
