"Medium_ES"	"Medium_p_UP"	"Medium_p_DN"	"Strain_ES"	"Strain_p_UP"	"Strain_p_DN"	"Interaction_ES"	"Interaction_p_UP"	"Interaction_p_DN"
"NAGC_DUAL"	-0.56024	NA	0.88605	0.8963	0.52137	NA	-0.80632	NA	0.66575
"NAGC_POS"	-0.95207	NA	0.3927	-0.82808	NA	0.62042	-0.76062	NA	0.68229
"NAGC_REP"	-0.8371	NA	0.022601	-0.46736	NA	0.8093	-0.77222	NA	0.19767
"NANR_REP"	-0.37461	NA	0.95204	0.65837	0.84882	NA	-0.50675	NA	0.85016
"NARL_DUAL"	-0.411	NA	0.9546	0.74445	0.73014	NA	-0.54305	NA	0.84487
"NARL_POS"	-0.39872	NA	0.80665	0.51698	0.88852	NA	-0.58306	NA	0.57963
"NARL_REP"	0.35263	0.97246	NA	0.49027	0.85444	NA	-0.54324	NA	0.57076
"NARP_POS"	0.35347	1	NA	0.58271	0.7522	NA	-0.47906	NA	0.77338
"NARP_REP"	0.26033	1	NA	0.53394	0.88773	NA	-0.5828	NA	0.66905
"NEMR_REP"	-0.60036	NA	0.84645	0.76161	0.87273	NA	0.63634	0.70998	NA
"NHAR_DUAL"	-0.75954	NA	0.74737	0.73971	0.95929	NA	0.90313	0.50692	NA
"NHAR_POS"	-0.84872	NA	0.3571	0.5784	0.97192	NA	-0.44442	NA	0.93949
"NIKR_REP"	-0.83884	NA	0.44386	0.71177	0.84905	NA	-0.6131	NA	0.80326
"NIMR_REP"	0.81529	0.80043	NA	0.8604	0.74244	NA	0.79602	0.599	NA
"NORR_POS"	0.47543	1	NA	0.76957	0.8812	NA	-0.68617	NA	0.82259
"NRDR_REP"	0.79279	0.60826	NA	0.53976	0.96554	NA	0.63259	0.5592	NA
"NSRR_REP"	0.73117	0.24043	NA	-0.41773	NA	0.8148	-0.57364	NA	0.46065
"NTRC_POS"	-0.72674	NA	0.12077	-0.26731	NA	1	0.21711	0.97382	NA
"NTRC_REP"	-0.76086	NA	0.57211	-0.83769	NA	0.43331	-0.42265	NA	0.95319
"OMPR_POS"	-0.69737	NA	0.65107	-0.52064	NA	0.85816	0.56745	0.70347	NA
"OMPR_REP"	-0.73665	NA	0.44471	0.40914	1	NA	-0.61573	NA	0.67075
"OXYR_POS"	0.92186	0.2144	NA	-0.46893	NA	0.84103	-0.6574	NA	0.5667
"OXYR_REP"	0.34951	1	NA	-0.88489	NA	0.29973	-0.64181	NA	0.65249
"PAAX_REP"	-0.52306	NA	0.78061	0.72881	0.50879	NA	-0.64403	NA	0.6856
"PDHR_POS"	0.29832	0.99795	NA	-0.3087	NA	0.98962	0.87642	0.24336	NA
"PDHR_REP"	-0.52167	NA	0.6379	0.42245	0.97658	NA	0.39742	0.71494	NA
"PEPA_REP"	-0.49036	NA	0.94074	-0.7891	NA	0.68748	-0.49739	NA	0.94377
"PGRR_REP"	-0.67249	NA	0.81477	0.68029	0.99728	NA	-0.64781	NA	0.84427
"PHOB_POS"	0.47018	0.84736	NA	0.37104	1	NA	-0.37553	NA	0.88487
"PHOB_REP"	-0.38104	NA	0.94237	0.36151	1	NA	0.46736	0.73431	NA
"PHOP_POS"	0.64295	0.58683	NA	-0.72188	NA	0.26061	-0.42926	NA	0.81998
"PHOP_REP"	-0.56027	NA	0.75959	0.58554	0.97875	NA	-0.7759	NA	0.41609
"PRPR_POS"	0.68995	0.84607	NA	0.63949	0.9988	NA	-0.58508	NA	0.86231
"PSPF_POS"	0.7248	0.79297	NA	-0.36927	NA	1	-0.41067	NA	0.9592
"PURR_REP"	-0.59232	NA	0.48743	-0.55549	NA	0.68888	0.46831	0.60402	NA
"PUTA_REP"	0.84294	0.75411	NA	-0.60385	NA	0.88119	-0.83418	NA	0.65807
"PUUR_REP"	-0.96686	NA	0.17702	-0.90523	NA	0.27362	0.93982	0.24949	NA
"QSEB_POS"	-0.8618	NA	0.48352	0.93272	0.43727	NA	-0.78441	NA	0.69812
"RBSR_REP"	0.40738	1	NA	-0.80688	NA	0.45823	0.42314	0.90183	NA
"RCDA_POS"	-0.90385	NA	0.19154	-0.81228	NA	0.46941	0.85661	0.23904	NA
"RCDA_REP"	-0.49297	NA	0.95237	0.86612	0.74124	NA	-0.83798	NA	0.65352
"RCNR_REP"	0.69356	0.83482	NA	-0.34289	NA	1	0.72591	0.61141	NA
"RCSAB_POS"	0.80939	0.57549	NA	0.83561	0.66683	NA	0.94826	0.24266	NA
"RCSAB_REP"	-0.96421	NA	0.17138	-0.84054	NA	0.43095	0.84603	0.24136	NA
"RCSB_POS"	0.64269	0.77624	NA	-0.56717	NA	0.77752	-0.32819	NA	0.96052
"RCSB_REP"	-0.73185	NA	0.7557	-0.9343	NA	0.54383	-0.55152	NA	0.93119
"RCSB-BGLJ_POS"	0.48097	0.93069	NA	0.78808	0.55017	NA	0.4235	0.81031	NA
"RELB_REP"	0.77174	0.77786	NA	-0.84273	NA	0.60904	-0.89575	NA	0.55831
"RELB-RELE_REP"	0.77174	0.77786	NA	-0.84273	NA	0.60904	-0.89575	NA	0.55831
"RHAR_POS"	0.69894	0.85766	NA	0.44915	1	NA	-0.73598	NA	0.75028
"RHAS_DUAL"	0.69607	0.84016	NA	0.54221	0.99097	NA	-0.73617	NA	0.69686
"RHAS_POS"	0.35355	1	NA	0.50781	1	NA	-0.68177	NA	0.66863
"ROB_POS"	0.45151	0.91841	NA	-0.36296	NA	0.95794	-0.47337	NA	0.80875
"RSTA_POS"	0.50172	0.97711	NA	0.63731	0.99567	NA	-0.75822	NA	0.70656
"RSTA_REP"	-0.95848	NA	0.18406	-0.82857	NA	0.51046	0.86166	0.22138	NA
"RTCR_POS"	-0.5498	NA	0.91719	-0.48753	NA	0.98604	-0.90649	NA	0.64921
"RUTR_POS"	-0.67424	NA	0.81701	-0.91232	NA	0.57202	0.68733	0.71436	NA
"RUTR_REP"	-0.53673	NA	0.75654	0.44847	0.99987	NA	-0.21355	NA	0.99876
"SDIA_POS"	-0.71855	NA	0.74307	0.70656	0.9644	NA	0.375	0.97106	NA
"SDIA_REP"	0.58077	0.92207	NA	0.51308	1	NA	-0.44512	NA	0.96941
"SGRR_POS"	-0.58899	NA	0.88082	0.66634	0.96487	NA	-0.45409	NA	0.96674
"SGRR_REP"	0.95199	0.4865	NA	-0.80417	NA	0.59726	-0.93443	NA	0.39443
"SIGMA19_POS"	0.29832	0.99795	NA	-0.3087	NA	0.98962	0.87642	0.24336	NA
"SIGMA24_POS"	0.58086	0.62934	NA	0.52985	0.58762	NA	0.53763	0.23107	NA
"SIGMA28_POS"	0.6786	0.42985	NA	-0.4546	NA	0.82264	-0.46223	NA	0.68592
"SIGMA32_POS"	0.28389	1	NA	0.59149	0.6399	NA	-0.34697	NA	0.87541
"SIGMA38_POS"	0.3498	0.94486	NA	-0.42653	NA	0.78916	-0.31553	NA	0.92227
"SIGMA54_POS"	-0.5052	NA	0.47158	0.38911	0.97302	NA	-0.43305	NA	0.69321
"SIGMA70_POS"	0.45874	0.79632	NA	-0.45076	NA	0.44698	-0.4008	NA	0.67872
"SOXR_POS"	-0.54302	NA	0.91672	-0.65631	NA	0.86088	0.81996	0.59906	NA
"SOXS_POS"	0.5041	0.84666	NA	0.465	1	NA	-0.52499	NA	0.67168
"SOXS_REP"	0.85058	0.75748	NA	-0.73042	NA	0.82572	-0.50146	NA	0.95362
"STPA_REP"	0.63508	0.85059	NA	0.78594	0.63776	NA	-0.53851	NA	0.8772
"SUTR_REP"	0.78806	0.81077	NA	-0.79939	NA	0.54834	-0.70544	NA	0.68355
"TDCA_POS"	-0.80705	NA	0.4762	0.8654	0.45239	NA	-0.9027	NA	0.28516
"TDCR_POS"	-0.80705	NA	0.4762	0.8654	0.45239	NA	-0.9027	NA	0.28516
"TORR_POS"	0.98647	0.29604	NA	-0.96172	NA	0.27651	-0.98896	NA	0.15066
"TORR_REP"	0.94694	0.55861	NA	-0.93454	NA	0.45489	-0.93819	NA	0.44321
"TRER_REP"	-0.83922	NA	0.65134	-0.7997	NA	0.77059	0.86737	0.55151	NA
"TRPR_REP"	-0.56233	NA	0.75866	0.76578	0.46036	NA	0.73127	0.22894	NA
"TYRR_POS"	-0.62544	NA	0.82423	0.51407	1	NA	0.56664	0.84242	NA
"TYRR_REP"	-0.59012	NA	0.74926	-0.73515	NA	0.54749	0.35925	0.92089	NA
"UIDR_REP"	0.81837	0.80163	NA	0.6428	1	NA	-0.75981	NA	0.66066
"ULAR_REP"	-0.55708	NA	0.80882	0.7044	0.85274	NA	-0.55687	NA	0.8181
"UVRY_POS"	0.84504	0.76271	NA	0.98419	0.4491	NA	0.49523	0.92455	NA
"UXUR_REP"	0.72265	0.75392	NA	0.61579	0.97269	NA	-0.72696	NA	0.66467
"XAPR_POS"	0.30815	0.99727	NA	0.59876	1	NA	-0.78167	NA	0.68002
"XYLR_POS"	-0.82041	NA	0.47087	0.63701	0.96278	NA	-0.60375	NA	0.81345
"YDEO_POS"	0.64884	0.77627	NA	-0.90474	NA	0.19345	-0.76465	NA	0.33831
"YDEO_REP"	0.86056	0.82093	NA	-0.36923	NA	1	0.51371	0.91747	NA
"YEDW_POS"	0.65071	0.8349	NA	-0.54038	NA	0.84816	-0.88519	NA	0.29015
"YEDW_REP"	-0.38211	NA	0.9767	-0.86036	NA	0.45064	0.71032	0.55643	NA
"YEFM_REP"	0.93406	0.60175	NA	0.493	1	NA	-0.68512	NA	0.81194
"YEFM-YOEB_REP"	0.93406	0.60175	NA	0.493	1	NA	-0.68512	NA	0.81194
"YIAJ_REP"	-0.50305	NA	0.8809	0.58119	0.97693	NA	-0.53129	NA	0.86419
"YJJQ_REP"	-0.63088	NA	0.67838	0.85511	1	NA	-0.48555	NA	0.87867
"YQHC_POS"	-0.94314	NA	0.47843	-0.83798	NA	0.6853	0.55742	0.89261	NA
"YQJI_REP"	0.53783	0.97581	NA	-0.69993	NA	0.81471	-0.67374	NA	0.80549
"ZRAR_POS"	0.74878	0.80313	NA	0.51269	1	NA	-0.64591	NA	0.81325
"ZUR_REP"	0.31081	1	NA	0.78504	0.63353	NA	0.56622	0.72059	NA
